County,Child_pov,Med_inc,Checkup_adult_per,Flu_18_per,County_designation,Cancer_deaths
Bernalillo County,0.24,56920,0.63,0.48,metro,"1,147"
Catron County,0,37623,0.7,0.37,rural,18
Chaves County,0.42,47620,0.71,0.39,mixed,133
Cibola County,0.31,47300,0.61,0.42,mixed,53
Colfax County,0.5,39483,0.78,0.52,rural,27
Curry County,0.34,51199,0.73,0.34,mixed,56
De Baca County,0.03,32750,,,rural,4
Dona Ana County,0.34,47151,0.67,0.44,small metro,303
Eddy County,0.15,67759,0.64,0.3,mixed,102
Grant County,0.38,39429,0.69,0.4,mixed,59
Guadalupe County,0.34,35409,,,rural,11
Harding County,0,35900,,,rural,**
Hidalgo County,0.38,46097,,,rural,8
Lea County,0.2,62319,0.63,0.22,mixed,82
Lincoln County,0.17,47247,0.65,0.41,rural,45
Los Alamos County,0.12,123677,0.76,0.63,mixed,30
Luna County,0.29,33914,0.64,0.39,mixed,57
McKinley County,0.44,40262,0.56,0.47,mixed,96
Mora County,0,37549,,,rural,16
Otero County,0.2,46949,0.77,0.4,mixed,112
Quay County,0.49,33067,0.75,0.36,rural,17
Rio Arriba County,0.3,46994,0.65,0.45,mixed,67
Roosevelt County,0.37,47897,0.67,0.34,mixed,22
Sandoval County,0.16,68947,0.71,0.52,metro,255
San Juan County,0.36,47485,0.67,0.44,small metro,195
San Miguel County,0.32,36492,0.7,0.41,mixed,46
Santa Fe County,0.28,64423,0.68,0.51,small metro,294
Sierra County,0.58,35939,0.69,0.4,rural,43
Socorro County,0.55,38242,0.74,0.56,rural,41
Taos County,0.08,49481,0.62,0.42,mixed,91
Torrance County,0.32,44819,0.67,0.27,metro,33
Union County,0.3,37443,,,rural,13
Valencia County,0.27,53752,0.64,0.46,metro,158
